Country,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czechia,Denmark,Estonia,France,Greece,Hungary,Iceland,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Mexico,The Netherlands,New Zealand,Norway,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom,United States,,Finland,Israel,South Korea,Slovak Republic,Slovenia,Turkey,Germany
2.9.1 What's wrong with visuals,,,,,,,,Looks too much like HTML,,n/a,,n/a,n/a,,,layout to crowded: font too small,font a little too small,n/a,,,,,,,n/a,n/a,Small hyperlinks to evaluation reports,n/a,n/a,n/a,n/a,,n/a,,n/a,n/a,n/a,,
2.10 Interactive tools,No,No,No,No,No,Yes,No,Yes,No,n/a,No,no,no,No,no,yes,yes,no,no,no,no,Yes,No,no,No,Yes,No,No,No,No,No,,No,No,No,No,no,no,No
2.10.1 What are the interactive tools,,,,,,Interactive diagrams and graphs,,Interactive map,,,,n/a,n/a,,,timeline to select years,visualisation tools for database on spending and budget by departments,n/a,,,,On the portal explanation and toolbox pages,,,n/a,Interactive guide to policy evaluation,n/a,n/a,n/a,n/a,n/a,,n/a,,n/a,n/a,n/a,,
2.11 Subjective portal impression (1-5 scale),4,3,2,4,4,4,3,1,2,0,3,n/a,n/a,1,1,2,5,n/a,2,3,2,4,3,4,2,4,1,5,3,3,1,,1,2,4,1,n/a,3,3
2.12 Report frequency since 2022,"7,607 published from 2022 onwards. Mulptiple publications each month","Tend to be around yearly, sometimes slightly more regular",Only 8 from 2022,~20-40/ year,Monthly or more,Monthly or more,Unclear/ rolling basis,Annual,Rolling,n/a,Rolling,n/a,n/a,Rolling,anual,annual,multiple times a year,n/a,rolling,rolling,rolling,"Very high frequency (rolling, as soon as evaluations announced)",Rolling with annual reports,rolling,n/a,Monthly,n/a,Multiple times a month,Monthly/Bi-monthly,Multiple times a month,Annually,,Rolling,rolling,Annual,Rolling,n/a,every 5 years before new 5-year plan,Rolling
2.13 Notes,"Very good, but could benefit from larger text option and interactive features. Excellent “evaluation toolkit” section, explaining what evaluations are; limited accessibility tools
","The ADA (Development) portal is in association with the BMEIA (Austrian Foreign Office) (i.e. many reports are carried out together), but they have separate websites. Search function: There is one for website homepage, but not for the actual evaluation reports page. Summary available:  but not all - predominantely recent publications. Reports from 2017 onwards have a clear options for each report: evaluation brief, main report, annexes, executive summary, infographic and management response","Search function: There is one for website homepage, but not for the actual evaluation reports page.","Decentralised, but the standards set for reports are centralised",,,"Navigation is challenging. Summaries: present, but they are very brief.",Only lists reports in order of date published,,,,,,,,,central portal hosts all evaluations but also redirects to each ministry hosting specific policy area evaluations,,,,CONEVAL (National Council for the Evaluation of Social Development Policy): only for social policies,"Portal includes filter for the status of a report (announced, completed, cancelled, postponed, in progress)",,,All evaluations accessible through central government website under relevant ministry. Search required. Consistency indeterminable.,"Very well presented, highly intuitive site to use and navigate. Frequency varies, but relatively high.",Poor presentation. Nothing published since 2022,Fully navigable and well presented site with highly transparent and detailed explanations. Up to ~20 reports a year,"Full, well navigable database but nothing in the way of extra presentation or features","Full, well navigable database but nothing in the way of extra presentation or features",Page linking to each department's annual evidence plan and evaluation policies,,,,Portal is centralized but evaluations are conducted by separate ministries,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperlink,"https://evaluation.treasury.gov.au/?utm.com , https://apo.org.au/collection/330588/evaluation?utm_source=ACE",https://www.entwicklung.at/en/ada/evaluation/evaluation-reports/. https://repository.fteval.at/,https://diplomatie.belgium.be/en/politique/cooperation-au-developpement-et-aide-humanitaire/service-evaluation-speciale/evaluations . https://www.mi-is.be/fr/etudes-publications-statistiques?f%5B0%5D=im_field_study_type%3A283&f%5B1%5D=im_field_study_type%3A286,https://www.canada.ca/en/employment-social-development/corporate/reports/evaluations.html,https://www.dipres.gob.cl/597/w3-propertyvalue-23076.html,"https://sinergia.dnp.gov.co/evaluaciones, https://sinergia20app.dnp.gov.co/evaluaciones ","https://www.mideplan.go.cr/organizacion-para-la-cooperacion-y-el-desarrollo-economico-ocde, https://repositorio-snp.mideplan.go.cr/handle/123456789/150/browse , https://www.mideplan.go.cr/agenda-nacional-de-evaluacion ",https://mzv.gov.cz/jnp/en/foreign_relations/reports_and_documents/index.html,https://um.dk/en/danida/results/eval/eval_reports,n/a,https://www.strategie-plan.gouv.fr/en/publications,n/a,n/a,https://www.government.is/topics/foreign-affairs/international-development-cooperation/evaluations/#Tab4,https://www.gov.ie/en/department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation/collections/igees-publications/,https://performance.gov.it/performance,https://www.soumu.go.jp/main_sosiki/hyouka/seisaku_n/portal/index.html,https://www.lrvk.gov.lv/lv/revizijas/revizijas/noslegtas-revizijas,https://strata.gov.lt/en/,https://cooperation.gouvernement.lu/en/cooperation-au-developpement/politique-evaluation.html,https://www.coneval.org.mx/Paginas/principal.aspx,https://evaluaties.rijksfinancien.nl/,,https://www.dfo.no/fagomrader/styring-i-staten/evaluering,Szukaj - Gov.pl - Portal Gov.pl,PLANAPP,Portal MTDFP | Evaluation Reports,The Swedish Agency for Public Management,Search for evaluations in the Aramis database,Evaluation Registry,Home,,https://um.fi/publications,https://www.gov.il/he/collectors/publications?Type=9698793e-48f5-4941-8555-b67ca738db63,https://www.evaluation.go.kr/web/summary.do?menu_id=83&eval_se_cd=2,https://www.rrz.sk/en/tag/evaluation-reports/,n/a,https://www.sbb.gov.tr/ozel-ihtisas-komisyonu-raporlari/#1540024439304-a1816e9a-4191,https://www.deval.org/en/evaluations/our-evaluations
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
government budget 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
